Name,Days,Times,Ages,Class starts,Class ends,Tuition,Notes
Show Choir,Thursday,5:45pm-6:30pm,8-14,09/20/2018,Mid-June 2019,"$423 if pre-paid by August 20, or ten monthly payments of $47 each (may withdraw with prorated refund at any time.)","Students who are interested in singing and dancing will enjoy participating in our show choir, which performs current hits as well as the standards. No experience is necessary, and the material is differentiated to meet the needs of all members. Shoes required for performances: Black split-sole leather jazz shoes."
Junior Ballet Ensemble,Tuesday,7:45pm-8:15pm,10 & up,09/18/2018,Mid-June 2019,"$360 if pre-paid by August 18, or ten monthly payments of $40 each (may withdraw with prorated refund at any time.)","Students in either (or both) of our Int/Adv Ballet classes may register for our Jr. Ballet Ensemble, which is a classical ballet performance ensemble. Students should arrive at least twenty minutes before ensemble time in order to warm-up."
Senior Ballet Ensemble,Tuesday,8:15pm-8:45pm,Teens- adults,09/18/2018,Mid-June 2019,"$360 if pre-paid by August 18, or ten monthly payments of $40 each (may withdraw with prorated refund at any time.)","Students in our Advanced Technique ballet class may register for our Sr. Ballet Ensemble, which is our higher-level classical ballet performance ensemble."
Junior Jazz Team of the Cincinnati Dance Crew,Monday,7:45pm-8:15pm,10 & up,09/17/2018,Mid-June 2019,"$360 if pre-paid by August 17, or ten monthly payments of $40 each (may withdraw with prorated refund at any time.)","Students with prior jazz or hip-hop training may register for our Junior Jazz Team (subject to Ms. Tina’s approval), which is a youth performance group that performs locally throughout the year at shopping malls, community festivals, and retirement communities in addition to our year-end recital. Shoes required for performances: Black split-sole leather jazz shoes"
Senior Jazz Team of the Cincinnati Dance Crew,Monday,6:00pm-6:45pm,13 & up,09/17/2018,Mid-June 2019,"$423 if pre-paid by August 17, or ten monthly payments of $47 each (may withdraw with prorated refund at any time.)","Intermediate/advanced dancers may register for our Senior Jazz Team (subject to Ms. Tina’s approval), which is a teen/adult performance group that performs locally throughout the year at shopping malls, community festivals, and retirement communities in addition to our year-end recital. Shoes required for performances: Split-sole leather jazz shoes (Tan for girls/women, black for boys/men)"
Junior Tap Team of the Cincinnati Dance Crew,Monday,7:15pm-7:45pm,10 & up,09/17/2018,Mid-June 2019,"$360 if pre-paid by August 17, or ten monthly payments of $40 each (may withdraw with prorated refund at any time.)","Students with prior tap training may register for our Junior Tap Team (subject to Ms. Tina’s approval), which is a youth performance group that performs locally throughout the year at shopping malls, community festivals, and retirement communities in addition to our year-end recital. Shoes required for performances: Split-sole leather tap oxfords (tan for girls and black for boys)"
Senior Tap Team of the Cincinnati Dance Crew,Monday,5:15pm-6:00pm,13 & up,09/17/2018,Mid-June 2019,"$423 if pre-paid by August 17, or ten monthly payments of $47 each (may withdraw with prorated refund at any time.)","Intermediate/advanced tappers may register for our Senior Tap Team (subject to Ms. Tina’s approval), which is a teen/adult performance group that performs locally throughout the year at shopping malls, community festivals, and retirement communities in addition to our year-end recital. Shoes required for performances: Split-sole leather tap oxfords (Tan for girls/women, black for boys/men)"
